Date,Speaker ID,Sex,Parliament,Party,Speech Count
2024-05-14,#OliverHeald,M,House of Commons,Conservative,1
2024-05-14,#AlisonMcGovern,F,House of Commons,Labour,1
2024-05-14,#JeremyLefroy,M,House of Commons,Conservative,1
2024-05-14,#AlisonThewliss,F,House of Commons,Scottish National Party,1
2024-05-14,#TaniaMathias,F,House of Commons,Conservative,3
2024-05-14,#JohnBercow,M,House of Commons,Conservative,2
2024-05-14,#MartinDochertyHughes,M,House of Commons,Scottish National Party,1
2024-05-14,#JohnDurkan,M,House of Commons,Social Democratic & Labour Party,1
2024-05-14,#PatrickGrady,M,House of Commons,Scottish National Party,1
2024-05-14,#PeterGrant,M,House of Commons,Scottish National Party,1
2024-05-14,#JeffreySmith,M,House of Commons,Labour,1
2024-05-14,#LisaCameron,F,House of Commons,Scottish National Party,1
2024-05-14,#HilaryBenn,M,House of Commons,Labour,2
2024-05-14,#TobiasEllwood,M,House of Commons,Conservative,34
2024-05-14,#CrispinBlunt,M,House of Commons,Conservative,1
2024-05-14,#EmilyThornberry,F,House of Commons,Labour,2
2024-05-14,#RobertStewart,M,House of Commons,Conservative,1
2024-05-14,#TasminaAhmedSheikh,F,House of Commons,Scottish National Party,1
2024-05-14,#CherylGillan,F,House of Commons,Conservative,1
2024-05-14,#KeithVaz,M,House of Commons,Labour,1
2024-05-14,#FeliciaDrummond,F,House of Commons,Conservative,1
2024-05-14,#GillianFurniss,F,House of Commons,Labour,1
2024-05-14,#NigelHuddleston,M,House of Commons,Conservative,1
2024-05-14,#LucianaGoldsmithBerger,F,House of Commons,Labour,1
2024-05-14,#SeemaKennedy,F,House of Commons,Conservative,1
2024-05-14,#MargaretFerrier,F,House of Commons,Scottish National Party,1
2024-05-14,#MarkPritchard,M,House of Commons,Conservative,1
2024-05-14,#KevanJones,M,House of Commons,Labour,1
2024-05-14,#ThomasTugendhat,M,House of Commons,Conservative,1
2024-05-14,#ThomasBrake,M,House of Commons,Liberal Democrat,1
2024-05-14,#EdwardLeigh,M,House of Commons,Conservative,1
2024-05-14,#StephenDoughty,M,House of Commons,Labour,1
2024-05-14,#KevinFoster,M,House of Commons,Conservative,1
2024-05-14,#AlisonThewliss,F,House of Commons,Scottish National Party,2
2024-05-14,#JohnBercow,M,House of Commons,Conservative,1
2024-05-14,#MichaelWood,M,House of Commons,Conservative,1
2024-05-14,#ThangamDebbonaire,F,House of Commons,Labour,1
2024-05-14,#PhilipHollobone,M,House of Commons,Conservative,1
2024-05-14,#AndrewGwynne,M,House of Commons,Labour,1
2024-05-14,#NigelEvans,M,House of Commons,Conservative,1
2024-05-14,#DouglasChapman,M,House of Commons,Scottish National Party,1
2024-05-14,#NicklausThomasSymonds,M,House of Commons,Labour,1
2024-05-14,#BrendanOHara,M,House of Commons,Scottish National Party,1
2024-05-14,#DianaJohnson,F,House of Commons,Labour,1
2024-05-14,#PatrickGrady,M,House of Commons,Scottish National Party,1
2024-05-14,#JoyceAnelay,F,House of Lords,Conservative,6
2024-05-14,#RaymondCollins,M,House of Lords,Labour,1
2024-05-14,#WilliamWallace,M,House of Lords,Liberal Democrat,1
2024-05-14,#DavidHowell,M,House of Commons,Conservative,1
2024-05-14,#PeterHain,M,House of Commons,Labour,1
2024-05-14,#DavidLea,M,House of Lords,Labour,1
2024-05-14,#DavidAlton,M,House of Commons,Liberal,2
2024-05-14,#JoyceAnelay,F,House of Lords,Conservative,5
2024-05-14,#DaleCampbellSavours,M,House of Commons,Labour,1
2024-05-14,#WilliamWallace,M,House of Lords,Liberal Democrat,1
2024-05-14,#IndarjitSingh,M,House of Lords,Crossbench,1
2024-05-14,#KellyTolhurst,F,House of Commons,Conservative,2
2024-05-14,#TobiasEllwood,M,House of Commons,Conservative,5
2024-05-14,#JohnBercow,M,House of Commons,Conservative,3
2024-05-14,#CatherineMcKinnell,F,House of Commons,Labour,2
2024-05-14,#EmilyThornberry,F,House of Commons,Labour,3
2024-05-14,#KeithVaz,M,House of Commons,Labour,19
2024-05-14,#KirstenOswald,F,House of Commons,Scottish National Party,1
2024-05-14,#RosenaAllinKhan,F,House of Commons,Labour,1
2024-05-14,#EdwardArgar,M,House of Commons,Conservative,1
2024-05-14,#StephenDoughty,M,House of Commons,Labour,2
2024-05-14,#DouglasChapman,M,House of Commons,Scottish National Party,1
2024-05-14,#PhilippaWhitford,F,House of Commons,Scottish National Party,1
2024-05-14,#ChrisWhite,M,House of Commons,Conservative,4
2024-05-14,#LindsayHoyle,M,House of Commons,Labour,4
2024-05-14,#FeliciaDrummond,F,House of Commons,Conservative,1
2024-05-14,#MargaretFerrier,F,House of Commons,Scottish National Party,1
2024-05-14,#MartinDochertyHughes,M,House of Commons,Scottish National Party,1
2024-05-14,#KevinFoster,M,House of Commons,Conservative,1
2024-05-14,#AlisonThewliss,F,House of Commons,Scottish National Party,1
2024-05-14,#RoderickStewart,M,House of Commons,Conservative,4
2024-05-14,#LindsayHoyle,M,House of Commons,Labour,9
2024-05-14,#EmilyThornberry,F,House of Commons,Labour,22
2024-05-14,#KeithVaz,M,House of Commons,Labour,7
2024-05-14,#MatthewPerkins,M,House of Commons,Labour,3
2024-05-14,#KevanJones,M,House of Commons,Labour,15
2024-05-14,#JohnWoodcock,M,House of Commons,Labour,4
2024-05-14,#CrispinBlunt,M,House of Commons,Conservative,7
2024-05-14,#BrendanOHara,M,House of Commons,Scottish National Party,1
2024-05-14,#StephenDoughty,M,House of Commons,Labour,4
2024-05-14,#StephenTwigg,M,House of Commons,Labour,7
2024-05-14,#AlexanderSalmond,M,House of Commons,Scottish National Party,2
2024-05-14,#JamesHowarth,M,House of Commons,Conservative,3
2024-05-14,#JulianBrazier,M,House of Commons,Conservative,1
2024-05-14,#AlexanderJohnson,M,House of Commons,Conservative,12
2024-05-14,#FeliciaDrummond,F,House of Commons,Conservative,1
2024-05-14,#GeorgeKerevan,M,House of Commons,Scottish National Party,3
2024-05-14,#SueHayman,F,House of Commons,Labour,1
2024-05-14,#TasminaAhmedSheikh,F,House of Commons,Scottish National Party,19
2024-05-14,#RobertStewart,M,House of Commons,Conservative,1
2024-05-14,#ThomasTugendhat,M,House of Commons,Conservative,4
2024-05-14,#DanielKawczynski,M,House of Commons,Conservative,2
2024-05-14,#WendyMorton,F,House of Commons,Conservative,4
2024-05-14,#TaniaMathias,F,House of Commons,Conservative,1
2024-05-14,#KirstenOswald,F,House of Commons,Scottish National Party,1
2024-05-14,#MarkHendrick,M,House of Commons,Labour,3
2024-05-14,#AlistairBurt,M,House of Commons,Conservative,2
2024-05-14,#AlisonThewliss,F,House of Commons,Scottish National Party,1
2024-05-14,#NadhimZahawi,M,House of Commons,Conservative,1
2024-05-14,#ChristianMatheson,M,House of Commons,Labour,1
2024-05-14,#JohnBercow,M,House of Commons,Conservative,2
2024-05-14,#DouglasChapman,M,House of Commons,Scottish National Party,1
2024-05-14,#MarkMenzies,M,House of Commons,Conservative,1
2024-05-14,#ThomasBrake,M,House of Commons,Liberal Democrat,1
2024-05-14,#SeemaKennedy,F,House of Commons,Conservative,1
2024-05-14,#MargaretFerrier,F,House of Commons,Scottish National Party,2
2024-05-14,#LisaCameron,F,House of Commons,Scottish National Party,2
2024-05-14,#KwasiKwarteng,M,House of Commons,Conservative,2
2024-05-14,#NusratUlGhani,F,House of Commons,Conservative,1
2024-05-14,#RichardShannon,M,House of Commons,Democratic Unionist Party,1
2024-05-14,#KevinFoster,M,House of Commons,Conservative,4
2024-05-14,#PeterGrant,M,House of Commons,Scottish National Party,1
2024-05-14,#ChrisWhite,M,House of Commons,Conservative,3
2024-05-14,#NataschaEngel,F,House of Commons,Labour,1
2024-05-14,#RobertJenrick,M,House of Commons,Conservative,1
2024-05-14,#KateOsamor,F,House of Commons,Labour,1
2024-05-14,#TobiasEllwood,M,House of Commons,Conservative,2
2024-05-14,#NicholasBrown,M,House of Commons,Labour,1
2024-05-14,#PhilippaWhitford,F,House of Commons,Scottish National Party,2
2024-05-14,#HarriettBaldwin,F,House of Commons,Conservative,4
2024-05-14,#KevinFoster,M,House of Commons,Conservative,1
2024-05-14,#KeithVaz,M,House of Commons,Labour,1
2024-05-14,#KeithVaz,M,House of Commons,Labour,2
2024-05-14,#TobiasEllwood,M,House of Commons,Conservative,20
2024-05-14,#JohnBercow,M,House of Commons,Conservative,5
2024-05-14,#CrispinBlunt,M,House of Commons,Conservative,1
2024-05-14,#EmilyThornberry,F,House of Commons,Labour,3
2024-05-14,#DesmondSwayne,M,House of Commons,Conservative,1
2024-05-14,#PatrickGrady,M,House of Commons,Scottish National Party,1
2024-05-14,#RobertStewart,M,House of Commons,Conservative,1
2024-05-14,#StephenTwigg,M,House of Commons,Labour,1
2024-05-14,#FeliciaDrummond,F,House of Commons,Conservative,1
2024-05-14,#ThomasBrake,M,House of Commons,Liberal Democrat,3
2024-05-14,#MiriamDavies,F,House of Commons,Conservative,1
2024-05-14,#GrahamJones,M,House of Commons,Labour,1
2024-05-14,#MatthewOfford,M,House of Commons,Conservative,1
2024-05-14,#ChristopherBryant,M,House of Commons,Labour,1
2024-05-14,#CraigWhittaker,M,House of Commons,Conservative,1
2024-05-14,#RosenaAllinKhan,F,House of Commons,Labour,1
2024-05-14,#PeterBone,M,House of Commons,Conservative,1
2024-05-14,#SeemaMalhotraSaluja,F,House of Commons,Labour,1
2024-05-14,#MichaelFallon,M,House of Commons,Conservative,28
2024-05-14,#WayneDavid,M,House of Commons,Labour,1
2024-05-14,#JulianLewis,M,House of Commons,Conservative,1
2024-05-14,#BrendanOHara,M,House of Commons,Scottish National Party,1
2024-05-14,#DesmondSwayne,M,House of Commons,Conservative,1
2024-05-14,#KeithVaz,M,House of Commons,Labour,1
2024-05-14,#WilliamWiggin,M,House of Commons,Conservative,1
2024-05-14,#AnnClwyd,F,House of Commons,Labour,1
2024-05-14,#CraigWhittaker,M,House of Commons,Conservative,1
2024-05-14,#ThomasBrake,M,House of Commons,Liberal Democrat,2
2024-05-14,#SeemaKennedy,F,House of Commons,Conservative,1
2024-05-14,#StephenDoughty,M,House of Commons,Labour,1
2024-05-14,#AndrewMurrison,M,House of Commons,Conservative,1
2024-05-14,#MargaretFerrier,F,House of Commons,Scottish National Party,1
2024-05-14,#ThomasTugendhat,M,House of Commons,Conservative,1
2024-05-14,#ChristopherBryant,M,House of Commons,Labour,1
2024-05-14,#PhilipHollobone,M,House of Commons,Conservative,1
2024-05-14,#RichardShannon,M,House of Commons,Democratic Unionist Party,1
2024-05-14,#OliverColvile,M,House of Commons,Conservative,1
2024-05-14,#IanMurray,M,House of Commons,Labour,1
2024-05-14,#WendyMorton,F,House of Commons,Conservative,1
2024-05-14,#NicholasSmith,M,House of Commons,Labour,1
2024-05-14,#ChrisWhite,M,House of Commons,Conservative,1
2024-05-14,#DianaJohnson,F,House of Commons,Labour,1
2024-05-14,#HywelWilliams,M,House of Commons,Plaid Cymru,1
2024-05-14,#RobertJenrick,M,House of Commons,Conservative,1
2024-05-14,#TaniaMathias,F,House of Commons,Conservative,2
2024-05-14,#EleanorLaing,F,House of Commons,Conservative,1
2024-05-14,#LucianaGoldsmithBerger,F,House of Commons,Labour,2
2024-05-14,#TobiasEllwood,M,House of Commons,Conservative,18
2024-05-14,#GeoffreyCliftonBrown,M,House of Commons,Conservative,1
2024-05-14,#KeithVaz,M,House of Commons,Labour,1
2024-05-14,#DanielKawczynski,M,House of Commons,Conservative,1
2024-05-14,#StephenDoughty,M,House of Commons,Labour,1
